"Subject" "Activity" "Time_Body_Acceleration_Mean_X" "Time_Body_Acceleration_Mean_Y" "Time_Body_Acceleration_Mean_Z" "Time_Body_Acceleration_Standard_Deviation_X" "Time_Body_Standard_Deviation_Y" "Time_Body_Standard_Deviation_Z"
2 "STANDING" 0.25717778 -0.02328523 -0.014653762 -0.938404 -0.92009078 -0.66768331
2 "STANDING" 0.28602671 -0.013163359 -0.11908252 -0.97541469 -0.9674579 -0.94495817
2 "STANDING" 0.27548482 -0.02605042 -0.11815167 -0.99381904 -0.96992551 -0.96274798
2 "STANDING" 0.27029822 -0.032613869 -0.11752018 -0.99474279 -0.97326761 -0.96709068
2 "STANDING" 0.27483295 -0.027847788 -0.12952716 -0.99385248 -0.96744548 -0.97829499
2 "STANDING" 0.27921995 -0.018620399 -0.11390197 -0.99445523 -0.97041688 -0.96531629
2 "STANDING" 0.27974586 -0.018271026 -0.10399988 -0.99581919 -0.97635361 -0.97772468
2 "STANDING" 0.27460055 -0.02503513 -0.11683085 -0.99559442 -0.98206892 -0.98526237
2 "STANDING" 0.27252874 -0.020954013 -0.11447249 -0.99678413 -0.97590627 -0.98659699
2 "STANDING" 0.2757457 -0.010371994 -0.09977589 -0.99837313 -0.98693291 -0.9910219
2 "STANDING" 0.27859589 -0.015231928 -0.098908415 -0.99878507 -0.98194306 -0.99137882
2 "STANDING" 0.27915178 -0.021879444 -0.10973077 -0.99778103 -0.99295121 -0.98568028
2 "STANDING" 0.27454383 -0.023145294 -0.1125396 -0.99620456 -0.9915728 -0.98751828
2 "STANDING" 0.26906631 -0.027685967 -0.11017794 -0.9968836 -0.9864395 -0.9884791
2 "STANDING" 0.27557925 -0.018936424 -0.097409776 -0.99606469 -0.96822549 -0.98069598
2 "STANDING" 0.28193083 -0.004880615 -0.086106145 -0.98907559 -0.95900626 -0.97302388
2 "STANDING" 0.31107792 -0.019430625 -0.10186634 -0.9366878 -0.84018585 -0.81682639
2 "STANDING" 0.26232825 -0.023257054 -0.12552494 -0.98456111 -0.91337982 -0.91267279
2 "STANDING" 0.28841575 -0.003485395 -0.083827858 -0.99457065 -0.97835984 -0.97994262
2 "STANDING" 0.27116593 -0.025972908 -0.094923481 -0.97012403 -0.90187818 -0.9652996
2 "STANDING" 0.25309467 -0.044192268 -0.13929762 -0.96892213 -0.9103836 -0.91886033
2 "STANDING" 0.27133883 -0.029954058 -0.11859533 -0.96093148 -0.90503507 -0.87126958
2 "STANDING" 0.29926682 0.011798517 -0.031653276 -0.94875426 -0.84418244 -0.88070536
2 "STANDING" 0.29389749 0.01115091 -0.069281198 -0.96241329 -0.86333992 -0.85995713
2 "STANDING" 0.27563911 -0.015565524 -0.1254582 -0.98916068 -0.96851562 -0.96872274
2 "STANDING" 0.27225459 -0.025051205 -0.13318432 -0.99115349 -0.96354868 -0.97316133
2 "STANDING" 0.27642711 -0.026277565 -0.12694133 -0.99298881 -0.96561954 -0.9657378
2 "STANDING" 0.28016952 -0.014362437 -0.10047145 -0.99359232 -0.9719031 -0.97793999
2 "STANDING" 0.27746102 -0.01584543 -0.10639347 -0.99502745 -0.97159341 -0.97872472
2 "STANDING" 0.28837469 -0.0085476599 -0.10705876 -0.99334035 -0.9619744 -0.98449309
2 "STANDING" 0.28590496 -0.0077447295 -0.10273652 -0.99188377 -0.96571091 -0.98415868
2 "SITTING" 0.29648714 -0.014684879 -0.13980848 -0.98771367 -0.83424238 -0.94105035
2 "SITTING" 0.27723542 -0.025677001 -0.11843072 -0.99639048 -0.95268767 -0.96541011
2 "SITTING" 0.2782907 -0.014536086 -0.10524253 -0.99678611 -0.98839324 -0.98950215
2 "SITTING" 0.27815992 -0.0076678258 -0.09927102 -0.99697493 -0.96211178 -0.987355
2 "SITTING" 0.27664638 -0.0049748937 -0.104754 -0.99726953 -0.96546147 -0.98114499
2 "SITTING" 0.27829493 -0.022664347 -0.11591945 -0.99724431 -0.96872118 -0.98613179
2 "SITTING" 0.27505303 -0.024059404 -0.10589705 -0.99525842 -0.97190867 -0.98360641
2 "SITTING" 0.27486428 -0.01561837 -0.097528302 -0.99623776 -0.98664644 -0.989707
2 "SITTING" 0.27871074 -0.016793927 -0.10524076 -0.99859653 -0.9906669 -0.98746213
2 "SITTING" 0.27822455 -0.016181738 -0.1075716 -0.99822604 -0.99043752 -0.98923957
2 "SITTING" 0.27625455 -0.016985093 -0.10885324 -0.99639413 -0.98567065 -0.98354536
2 "SITTING" 0.27574674 -0.015388072 -0.10505767 -0.99581447 -0.98247951 -0.9819142
2 "SITTING" 0.28028279 -0.019175262 -0.10932156 -0.99531257 -0.975241 -0.97892176
2 "SITTING" 0.28540286 0.002355779 -0.16984868 -0.95371281 -0.86194417 -0.78706775
2 "SITTING" 0.27047249 -0.0089373643 -0.095150167 -0.98563184 -0.91172769 -0.94366406
